,Subject,trialtype,trialnum,inpos,TBR,outpos,resp,dist_RT,task,folder
312,57.0,S,20.0,1.0,bar,1,bar,3061.0,spOspan.noVer,E7
313,57.0,S,20.0,2.0,car,2,car,3838.0,spOspan.noVer,E7
314,57.0,S,20.0,3.0,scar,3,,3998.0,spOspan.noVer,E7
315,57.0,S,20.0,4.0,star,4,star,4183.0,spOspan.noVer,E7
316,57.0,S,21.0,0.0,mail,0,mail,4477.0,spOspan.noVer,E7
317,57.0,S,21.0,1.0,sail,1,sail,3557.0,spOspan.noVer,E7
318,57.0,S,21.0,2.0,trail,2,,4145.0,spOspan.noVer,E7
319,57.0,S,21.0,3.0,wail,3,,3908.0,spOspan.noVer,E7
320,57.0,S,21.0,4.0,tail,4,jail,3579.0,spOspan.noVer,E7
321,57.0,S,21.0,5.0,jail,,,4309.0,spOspan.noVer,E7
322,57.0,S,22.0,0.0,deer,0,,3911.0,spOspan.noVer,E7
323,57.0,S,22.0,1.0,sphere,1,sphere,3215.0,spOspan.noVer,E7
324,57.0,S,22.0,2.0,ear,2,ear,3849.0,spOspan.noVer,E7
325,57.0,S,22.0,3.0,tear,3,tear,4338.0,spOspan.noVer,E7
326,57.0,S,23.0,0.0,king,0,king,3991.0,spOspan.noVer,E7
327,57.0,S,23.0,1.0,ring,1,ring,3780.0,spOspan.noVer,E7
328,57.0,S,23.0,2.0,spring,2,spring,3631.0,spOspan.noVer,E7
329,57.0,S,23.0,3.0,string,3,string,4207.0,spOspan.noVer,E7
330,57.0,S,23.0,4.0,wing,4,wing,4137.0,spOspan.noVer,E7
331,57.0,S,24.0,0.0,bread,0,bread,3027.0,spOspan.noVer,E7
332,57.0,S,24.0,1.0,head,1,head,3893.0,spOspan.noVer,E7
333,57.0,S,24.0,2.0,thread,2,thread,3660.0,spOspan.noVer,E7
334,57.0,S,24.0,3.0,bed,3,bed,4643.0,spOspan.noVer,E7
335,57.0,S,25.0,0.0,bone,0,bone,4520.0,spOspan.noVer,E7
336,57.0,S,25.0,1.0,phone,1,phone,3574.0,spOspan.noVer,E7
337,57.0,S,25.0,2.0,stone,2,stone,4225.0,spOspan.noVer,E7
338,57.0,S,26.0,0.0,band,0,band,3579.0,spOspan.noVer,E7
339,57.0,S,26.0,1.0,land,1,land,3885.0,spOspan.noVer,E7
340,57.0,S,26.0,2.0,stand,2,stand,3694.0,spOspan.noVer,E7
